3456	1585,2562,811,3314,37
320	318,2329,811,3233,2905
4352	2905,2571,318,50,449
2112	2175,3853,966,811,3233
3968	811,1421,2494,1420,2905
4288	811,318,2197,356,527
5888	3306,106,811,2512,923
2304	811,3092,1585,3314,2905
5824	811,2905,2562,318,3338
5440	2494,811,960,106,771
4928	811,1421,2494,53,3338
3712	2562,1198,811,260,1036
4992	811,53,3338,1415,2493
3776	318,811,50,2905,3338
3584	2905,2858,296,858,50
576	2562,3318,3612,920,1035
256	811,3338,2999,2931,858
1920	811,2562,37,3233,2197
2624	811,2562,3092,2999,318
4224	3092,2562,811,1198,260
192	2905,811,3338,858,296
2368	811,3233,128,2897,2760
2816	356,1036,2834,1101,37
4736	53,97,811,3245,3233
512	811,2562,2324,318,260
4672	2562,2913,811,3851,2127
4608	2931,3677,3136,3338,2493
5184	811,2999,3338,2931,2905
4544	1117,811,1046,2897,824
3328	3092,3077,2512,2129,811
5568	439,2562,2834,1780,49
1408	296,858,811,2999,1743
5248	2562,3851,3293,2197,985
1600	811,3092,3338,2999,1198
1472	811,1198,2562,260,2905
832	811,3092,2999,3338,2905
2560	3293,1493,2897,128,3894
1280	296,858,2905,318,593
3648	2562,2571,2905,110,3578
1216	811,106,858,3737,1178
1792	37,2834,811,3147,110
2688	318,110,1923,2028,2905
3840	3233,318,439,2562,3851
5632	811,3092,3338,2999,2197
3072	811,53,3338,3306,2905
6016	811,53,2931,3338,2999
1856	811,2562,2964,3892,3314
2176	811,53,2999,3306,3338
3200	811,3306,2999,3338,3022
5056	811,3092,2999,3338,745
5696	2562,811,1198,260,318
5504	811,2562,3092,2609,2999
2432	687,3612,1519,1035,2197
2496	811,858,3338,2905,923
3008	37,2562,3050,110,3578
64	583,2342,2571,50,1780
1344	811,2562,2999,3092,318
5312	811,3092,2999,1412,3338
4160	1421,811,1585,2494,1725
896	1780,811,439,598,3233
1728	2562,811,1198,260,2937
1664	3885,3092,1725,3851,3853
640	1420,2858,449,1780,108
1152	681,2964,53,1002,2594
3136	811,2562,1046,1851,3338
4864	260,2905,1198,110,1196
4032	811,37,2905,3236,110
1984	811,2562,3092,2905,3338
4416	2905,858,296,318,1213
5120	811,2999,3338,2905,3233
704	1743,811,106,116,858
2240	2562,811,1198,3314,260
2048	811,2562,3314,3222,3233
1536	318,527,593,858,811
4800	2905,1412,318,50,583
3904	2562,2571,1198,2834,1196
128	2562,811,2776,1585,573
4480	858,1002,811,3089,923
1088	811,3338,2905,3306,2999
5376	811,2905,3338,858,2999
3392	3233,811,2332,3147,1421
4096	811,2562,106,953,1198
2880	811,670,2931,1423,3338
1024	602,3415,53,2503,2931
5952	811,3092,2562,2999,3338
2944	811,3092,2999,3338,2562
2752	670,811,3338,2019,2931
448	2562,37,3147,318,110
3520	811,858,3338,2999,2905
768	811,598,1780,3233,1585
960	811,1002,2999,2931,3338
3264	214,2562,953,2197,2999
5760	1420,296,3421,563,1349
384	811,2562,3338,2905,50
1857	3092,718,1585,2342,2310
1921	2562,1198,260,1196,811
4993	1493,3746,3787,2897,2607
769	811,2905,858,3338,527
193	3092,811,2999,3338,1851
641	2562,811,3092,2197,527
513	811,2999,3338,3092,50
3201	811,2999,3338,858,2905
2753	811,3306,2999,1207,3338
65	811,2562,37,3314,318
1473	811,858,1198,2999,318
2433	2562,106,3612,1198,260
1665	2825,3585,1198,3753,480
2881	2964,3892,2562,811,2810
3137	2494,106,296,1089,2360
449	1349,106,1214,1200,811
1793	318,858,2905,2999,260
3777	811,2562,2999,214,318
1	811,3233,2776,1169,2760
4801	2834,1421,1780,439,598
2049	811,858,1198,260,912
2817	811,318,1198,2562,2905
5121	3092,318,50,1198,2905
1281	960,1809,326,811,2999
2305	3092,1493,1851,811,3306
1601	811,3092,2905,3338,2999
4097	318,2905,2028,110,37
4673	811,3338,318,3233,527
5697	37,356,2487,2834,318
321	811,2905,3245,2329,3338
577	811,858,2905,3338,2999
5633	811,3306,1099,1212,3469
4545	37,318,527,811,2028
1729	811,53,326,960,2999
4609	811,53,3338,2999,1851
3009	2562,318,3233,527,811
4161	811,2931,2503,53,3415
3521	811,3092,2999,3338,858
1153	1725,3853,1421,2512,811
6017	2197,2562,1493,811,1035
1409	811,2999,3338,2905,745
5569	2197,3092,985,1493,3853
833	1585,958,2332,811,3314
3905	2905,583,3338,50,811
705	116,1997,1198,296,858
897	811,3233,527,318,2999
4737	811,2931,3338,2999,858
2369	811,3338,2905,1851,3306
4225	811,1743,106,116,3306
4481	811,318,260,527,110
1537	318,2571,37,110,1198
5313	3415,811,53,1117,1796
3649	811,3233,2999,2512,3338
4865	3306,2962,668,3092,811
1217	811,3338,3306,2999,670
5185	811,3233,1421,53,2332
4033	318,2562,811,2905,260
2561	811,2999,3338,858,2931
2113	811,3338,2999,3306,2905
1089	811,116,858,1198,1997
5057	811,3338,2931,2999,53
5377	1421,1780,1585,3233,811
1025	1420,2905,37,110,583
385	2562,3092,1198,37,260
2689	2562,318,527,1198,811
3841	1421,811,2494,858,53
5889	811,2905,1218,3338,858
5953	811,583,2905,3338,2342
2625	811,1421,1585,858,3314
4417	811,3338,2999,2905,260
4289	2562,811,3092,1198,318
2241	811,3092,2562,2999,3338
3969	3851,3885,2774,2674,136
4353	2562,759,811,1743,1136
3329	106,3905,1743,3306,1423
1345	137,3092,3851,3905,128
5249	2562,2197,811,3092,985
3265	318,2999,811,593,2905
5441	811,2905,1421,2494,3338
1985	811,3092,2562,3314,1585
2945	106,670,1743,811,3470
